case_name,airflow_ach,IW_definition,IW_area_m2,AW_definition,solar_source,heating_MWh,cooling_MWh,total_HVAC_MWh,heating_EUI,cooling_EUI,total_EUI,peak_heating_kW,peak_cooling_kW,heating_hours,cooling_hours,annual_solar_MWh,heating_pass,cooling_pass,combined_pass,notes
Modelica native Case 600,0.414,nConPar=0; no explicit internal partitions,0.0,Modelica Buildings Case600FF envelope and floor boundary constructions,Modelica native surface-resolved solar,4.657996766471248,5.802665956514086,10.460662722985333,97.04159930148433,120.88887409404346,217.93047339552777,3.232528636505339,5.570011178989411,,,12.112388823424308,PASS,PASS,PASS,Comparator row from existing Modelica metrics; heating/cooling hour counts are not present in case600_metrics.csv.
A current baseline + Modelica solar,0.414,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,3.617693503127965,3.7000260133341096,7.317719516462075,75.36861464849927,77.08387527779395,152.45248992629323,3.8915544261584656,5.67614326970928,2595.0,1913.0,12.112388823424308,FAIL,FAIL,FAIL,
B 0.5 ACH + Modelica solar,0.5,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,3.89472683798609,3.606351508199298,7.501078346185388,81.14014245804354,75.13232308748537,156.27246554552892,4.031647633016314,5.6638768480130155,2675.0,1876.0,12.112388823424308,PASS,FAIL,FAIL,
C current 96 m2 IW + 0.5 ACH + Modelica solar,0.5,96 m2 = 2 * floor area software proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,3.89472683798609,3.606351508199298,7.501078346185388,81.14014245804354,75.13232308748537,156.27246554552892,4.031647633016314,5.6638768480130155,2675.0,1876.0,12.112388823424308,PASS,FAIL,FAIL,
E EUReCA empirical internal-wall proxy + 0.5 ACH + Modelica solar,0.5,EUReCA empirical footprint * floors * 2.5,120.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,3.4531105244308873,3.18655708019555,6.639667604626437,71.93980259231016,66.38660583740729,138.32640842971745,3.9937744078906743,5.512639144298648,2420.0,1757.0,12.112388823424308,FAIL,FAIL,FAIL,Methodology sensitivity only; not a BESTEST-prescribed internal partition.
HVAC 100% convective + 0.5 ACH + Modelica solar,0.5,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,3.4331365222534678,2.8928144614395266,6.325950983692994,71.52367754694724,60.2669679466568,131.79064549360405,3.7598023930299544,4.215774338908903,2654.0,2226.0,12.112388823424308,FAIL,FAIL,FAIL,
HVAC 100% radiant + 0.5 ACH + Modelica solar,0.5,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,4.71473793480996,4.310361918330278,9.025099853140237,98.22370697520749,89.79920663188079,188.02291360708827,5.656200083515588,7.174849931286085,2552.0,1738.0,12.112388823424308,PASS,FAIL,FAIL,1e-9 convective fraction avoids current floating validation edge case at exact zero.
inside h=7.7 + 0.5 ACH + Modelica solar,0.5,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,3.8842138141853777,3.5486773434100427,7.432891157595421,80.92112112886203,73.93077798770922,154.85189911657127,4.010507122985508,5.577077135976054,2708.0,1881.0,12.112388823424308,PASS,FAIL,FAIL,
inside h=9.1 + 0.5 ACH + Modelica solar,0.5,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,3.9071652270925847,3.750739383834087,7.657904610926671,81.39927556442885,78.14040382987682,159.53967939430564,4.075515112333495,5.968157112341592,2586.0,1859.0,12.112388823424308,PASS,FAIL,FAIL,
warmup one repeated year + 0.5 ACH + Modelica solar,0.5,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,Modelica aggregate controlled solar,3.8965254049607907,3.6063512555504644,7.502876660511255,81.1776126033498,75.13231782396801,156.30993042731782,4.031647633016314,5.6638768480130155,2675.0,1876.0,12.112388823424308,PASS,FAIL,FAIL,
VDI native-solar current baseline,0.414,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,VDI native solar,3.4393486995589893,4.479598886813769,7.9189475863727585,71.65309790747894,93.32497680862019,164.97807471609914,3.7991245560200646,5.819455226088277,2503.0,2050.0,11.75195606191515,FAIL,FAIL,FAIL,
VDI native-solar 0.5 ACH baseline,0.5,current RClib proxy,96.0,Envelope opaque + windows; floor currently AW boundary construction,VDI native solar,3.712357718433792,4.380508138017126,8.092865856450917,77.340785800704,91.26058620869013,168.6013720093941,3.952718071488943,5.828378332676415,2603.0,1999.0,11.75195606191515,FAIL,FAIL,FAIL,
VDI native-solar EUReCA empirical IW proxy,0.5,EUReCA empirical footprint * floors * 2.5,120.0,Envelope opaque + windows; floor currently AW boundary construction,VDI native solar,3.3118861253761063,3.9916236527429567,7.3035097781190625,68.9976276120022,83.1588260988116,152.1564537108138,3.9014394164920985,5.748530419992562,2362.0,1896.0,11.75195606191515,FAIL,FAIL,FAIL,Native solar retained only as secondary comparison.
