topology,parameter,value
current AW + IW,AW aggregate R,0.00034723358001402494
current AW + IW,AW aggregate C,1937626.6470694211
current AW + IW,IW aggregate R,0.0008884319383143845
current AW + IW,IW aggregate C,12159989.190958548
current AW + IW,R_conv_AW,0.0019425019425019427
current AW + IW,R_conv_IW,0.003472222222222222
current AW + IW,R_rad_AW_IW,0.0020833333333333333
AW-only no IW,AW aggregate R,0.00034723358001402494
AW-only no IW,AW aggregate C,1937626.6470694211
AW-only no IW,IW aggregate R,
AW-only no IW,IW aggregate C,
AW-only no IW,R_conv_AW,0.0019425019425019427
AW-only no IW,R_rad_AW_IW,
AW-only no IW,R_star_to_exterior,0.011290249740324255
