case_name,topology,airflow_ach,oat_source,solar_source,heating_MWh,cooling_MWh,total_HVAC_MWh,heating_EUI_kWh_m2yr,cooling_EUI_kWh_m2yr,total_EUI_kWh_m2yr,peak_heating_kW,peak_cooling_kW,heating_hours,cooling_hours,annual_solar_MWh,heating_pass,cooling_pass,combined_pass,max_abs_heat_balance_residual_W,oat_offset_K
"AW-only no IW, 0.414 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.414,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,6.588418439558773,6.355812680593667,12.944231120152441,137.25871749080778,132.41276417903472,269.67148166984254,4.271282662889359,6.768289081948123,4232,2459,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13,0.0
"AW-only no IW, 0.414 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.414,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,6.380838958758434,6.504650942135852,12.885489900894285,132.93414497413406,135.5135612944969,268.44770626863095,4.226566372183132,6.818049637427067,4151,2503,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13,0.5
"AW-only no IW, 0.414 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.414,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,6.800170166754506,6.209327946143831,13.009498112898337,141.67021180738553,129.36099887799648,271.031210685382,4.315998953595583,6.718443073840006,4315,2417,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13,-0.5
"AW-only no IW, 0.414 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.414,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,6.177642101966552,6.656352329292855,12.833994431259407,128.70087712430316,138.6740068602678,267.374883984571,4.181850081476907,6.867810192905998,4056,2549,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13,1.0
"AW-only no IW, 0.414 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.414,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,7.016217073483545,6.065787689408094,13.08200476289164,146.1711890309072,126.37057686266864,272.5417658935758,4.360715244301812,6.6681364673675745,4407,2380,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13,-1.0
"AW-only no IW, 0.5 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.5,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,6.909996008947513,6.258845653523355,13.168841662470868,143.95825018640653,130.39261778173656,274.35086796814306,4.449300992555074,6.741447625208351,4281,2425,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13,0.0
"AW-only no IW, 0.5 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.5,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,6.691037164705472,6.4126710353568575,13.103708200062329,139.39660759803067,133.5973132366012,272.99392083463187,4.4024692061728485,6.793790783929171,4185,2473,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13,0.5
"AW-only no IW, 0.5 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.5,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,7.133848193865391,6.1081390471363886,13.24198724100178,148.62183737219564,127.25289681534143,275.87473418753706,4.496132946441145,6.688768023531154,4376,2373,12.112388823424308,FAIL,PASS,FAIL,9.094947017729282e-13,-0.5
"AW-only no IW, 0.5 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.5,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,6.47649430138244,6.56919021592679,13.04568451730923,134.92696461213416,136.8581294984748,271.78509411060895,4.355637419790621,6.845904901443791,4100,2514,12.112388823424308,FAIL,PASS,FAIL,4.547473508864641e-13,1.0
"AW-only no IW, 0.5 ACH, Modelica aggregate controlled solar, Modelica exported OAT plus diagnostic offset, native exterior LW",AW-only no IW,0.5,Modelica exported OAT plus diagnostic offset,Modelica aggregate controlled solar,7.362203616028771,5.960376200989351,13.322579817018122,153.3792420005994,124.17450418727815,277.55374618787755,4.542965832040259,6.636088421853969,4463,2342,12.112388823424308,FAIL,PASS,FAIL,9.094947017729282e-13,-1.0
