case,configuration,source_allocation,heating_MWh,cooling_MWh,annual_transmitted_solar_MWh,maximum_balance_residual_W,lower_cooling,lower_heating,upper_cooling,upper_heating,bounds_valid,heating_in_range,cooling_in_range,both_in_range,D_MWh_norm
600,F36-like,native VDI area allocation,4.823417416763939,5.678802212968258,11.75195606191516,9.094947017729282e-13,5.0,3.75,6.83,4.98,True,True,True,True,0.0
600,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,4.816069717537059,5.748399395521484,11.75195606191516,9.094947017729282e-13,5.0,3.75,6.83,4.98,True,True,True,True,0.0
610,F36-like,native VDI area allocation,4.955556836394417,4.574798306167243,9.871643092008735,9.094947017729282e-13,2.74,3.61,6.03,5.27,True,True,True,True,0.0
610,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,4.948544859095186,4.631267029226461,9.871643092008735,9.094947017729282e-13,2.74,3.61,6.03,5.27,True,True,True,True,0.0
620,F36-like,native VDI area allocation,5.007975552090079,4.075384095270081,8.975555403986599,4.547473508864641e-13,2.76,3.67,5.19,5.38,True,True,True,True,0.0
620,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,4.996804031831273,4.119281317261257,8.975555403986599,4.547473508864641e-13,2.76,3.67,5.19,5.38,True,True,True,True,0.0
630,F36-like,native VDI area allocation,5.254494091323834,3.0727275949584802,6.947887682671987,4.547473508864641e-13,1.08,3.69,4.42,6.12,True,True,True,True,0.0
630,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,5.243362065707443,3.1030698446351264,6.947887682671987,4.547473508864641e-13,1.08,3.69,4.42,6.12,True,True,True,True,0.0
640,F36-like,native VDI area allocation,2.7783070022506466,5.493814802447751,11.75195606191516,9.094947017729282e-13,4.44,1.58,6.86,3.76,True,True,True,True,0.0
640,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,2.7676204863903977,5.559386545849771,11.75195606191516,9.094947017729282e-13,4.44,1.58,6.86,3.76,True,True,True,True,0.0
650,F36-like,native VDI area allocation,0.0,4.953261078973889,11.75195606191516,7.275957614183426e-12,3.46,0.0,5.88,0.0,True,True,True,True,0.0
650,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,0.0,5.021563655529702,11.75195606191516,7.275957614183426e-12,3.46,0.0,5.88,0.0,True,True,True,True,0.0
660,F36-like,native VDI area allocation,3.726305939103959,3.4457038988478437,6.724136108247946,4.547473508864641e-13,1.91,2.68,4.33,4.82,True,True,True,True,0.0
660,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,3.724758178713844,3.4565996799805707,6.724136108247946,4.547473508864641e-13,1.91,2.68,4.33,4.82,True,True,True,True,0.0
670,F36-like,native VDI area allocation,6.255515741520651,5.504974592453159,13.203758176195967,9.094947017729282e-13,5.05,4.0,7.67,7.96,True,True,True,True,0.0
670,F52-like,Modelica-derived air fraction; non-air remainder projected to AW,6.236401157774587,5.661150775937482,13.203758176195967,9.094947017729282e-13,5.05,4.0,7.67,7.96,True,True,True,True,0.0
680,F36-like,native VDI area allocation,2.6113587884773826,6.618122203469543,11.75195606191516,9.094947017729282e-13,5.13,1.21,7.7,3.08,True,True,True,True,0.0
