lightweight_case,heavyweight_case,configuration,metric,heavy_minus_light_MWh
600,900,F36-like,heating,-2.5514046891673283
600,900,F36-like,cooling,-3.134017842291008
600,900,F52-like,heating,-2.5563937867117232
600,900,F52-like,cooling,-3.1521536515160093
610,910,F36-like,heating,-2.242056291458241
610,910,F36-like,cooling,-2.6111799219626954
610,910,F52-like,heating,-2.251092620205774
610,910,F52-like,cooling,-2.633237705708427
620,920,F36-like,heating,-1.239359009441995
620,920,F36-like,cooling,-1.389727211857835
620,920,F52-like,heating,-1.2473728944926084
620,920,F52-like,cooling,-1.399017087795702
630,930,F36-like,heating,-0.9849196824968436
630,930,F36-like,cooling,-1.1056279967212512
630,930,F52-like,heating,-0.9910329099696042
630,930,F52-like,cooling,-1.1114230918766266
640,940,F36-like,heating,-1.3217169577345087
640,940,F36-like,cooling,-2.97898744734911
640,940,F52-like,heating,-1.3376710884662875
640,940,F52-like,cooling,-2.997742662370011
650,950,F36-like,heating,0.0
650,950,F36-like,cooling,-4.0518924425188345
650,950,F52-like,heating,0.0
650,950,F52-like,cooling,-4.077496345118991
680,980,F36-like,heating,-1.9995393280411133
680,980,F36-like,cooling,-2.8216663140600744
680,980,F52-like,heating,-1.9971578792472315
680,980,F52-like,cooling,-2.8176574433830006
685,985,F36-like,heating,-2.4730385619690867
685,985,F36-like,cooling,-2.4792608559183806
685,985,F52-like,heating,-2.4648344879628175
685,985,F52-like,cooling,-2.470938015280457
695,995,F36-like,heating,-2.0205756168665245
695,995,F36-like,cooling,-2.037663950591277
695,995,F52-like,heating,-2.0097688050162343
695,995,F52-like,cooling,-2.026452748901903
