case,configuration,metric,base_case,vdi_delta_MWh,reference_delta_min_MWh,reference_delta_median_MWh,reference_delta_max_MWh,majority_direction_matches,within_reference_delta_envelope
600,F36-like,heating,600,0.0,0.0,0.0,0.0,True,True
600,F36-like,cooling,600,0.0,0.0,0.0,0.0,True,True
600,F52-like,heating,600,0.0,0.0,0.0,0.0,True,True
600,F52-like,cooling,600,0.0,0.0,0.0,0.0,True,True
610,F36-like,heating,600,0.13213941963047837,0.051000000000000156,0.09700000000000042,0.16500000000000004,True,True
610,F36-like,cooling,600,-1.1040039068010152,-1.9290000000000003,-1.5310000000000006,-1.2009999999999996,True,False
610,F52-like,heating,600,0.13247514155812734,0.051000000000000156,0.09700000000000042,0.16500000000000004,True,True
610,F52-like,cooling,600,-1.1171323662950234,-1.9290000000000003,-1.5310000000000006,-1.2009999999999996,True,False
620,F36-like,heating,600,0.18455813532613963,0.10100000000000042,0.16599999999999948,0.3200000000000003,True,True
620,F36-like,cooling,600,-1.603418117698177,-1.9670000000000005,-1.8340000000000005,-1.4180000000000001,True,True
620,F52-like,heating,600,0.18073431429421394,0.10100000000000042,0.16599999999999948,0.3200000000000003,True,True
620,F52-like,cooling,600,-1.6291180782602268,-1.9670000000000005,-1.8340000000000005,-1.4180000000000001,True,True
630,F36-like,heating,600,0.43107667455989507,0.363,0.6299999999999999,0.8730000000000002,True,True
630,F36-like,cooling,600,-2.606074618009778,-3.5669999999999997,-2.8930000000000002,-2.6450000000000005,True,False
630,F52-like,heating,600,0.42729234817038453,0.363,0.6299999999999999,0.8730000000000002,True,True
630,F52-like,cooling,600,-2.6453295508863577,-3.5669999999999997,-2.8930000000000002,-2.6450000000000005,True,True
640,F36-like,heating,600,-2.0451104145132923,-1.8509999999999995,-1.662,-1.3679999999999999,True,False
640,F36-like,cooling,600,-0.18498741052050693,-0.30299999999999994,-0.26400000000000023,-0.017999999999999794,True,True
640,F52-like,heating,600,-2.048449231146661,-1.8509999999999995,-1.662,-1.3679999999999999,True,False
640,F52-like,cooling,600,-0.1890128496717134,-0.30299999999999994,-0.26400000000000023,-0.017999999999999794,True,True
650,F36-like,heating,600,-4.823417416763939,-4.658,-4.324,-3.993,True,False
650,F36-like,cooling,600,-0.7255411339943691,-1.2590000000000003,-1.21,-0.9820000000000002,True,False
650,F52-like,heating,600,-4.816069717537059,-4.658,-4.324,-3.993,True,False
650,F52-like,cooling,600,-0.726835739991782,-1.2590000000000003,-1.21,-0.9820000000000002,True,False
660,F36-like,heating,600,-1.09711147765998,-0.7600000000000002,-0.5750000000000002,-0.22599999999999953,True,False
660,F36-like,cooling,600,-2.2330983141204146,-2.943,-2.795,-2.1720000000000006,True,True
660,F52-like,heating,600,-1.0913115388232146,-0.7600000000000002,-0.5750000000000002,-0.22599999999999953,True,False
660,F52-like,cooling,600,-2.2917997155409133,-2.943,-2.795,-2.1720000000000006,True,True
670,F36-like,heating,600,1.432098324756712,1.2919999999999998,1.5260000000000007,2.723,True,True
670,F36-like,cooling,600,-0.17382762051509904,-0.8280000000000003,0.5219999999999994,0.7169999999999996,False,True
670,F52-like,heating,600,1.4203314402375282,1.2919999999999998,1.5260000000000007,2.723,True,True
670,F52-like,cooling,600,-0.08724861958400165,-0.8280000000000003,0.5219999999999994,0.7169999999999996,False,True
680,F36-like,heating,600,-2.2120586282865564,-2.3149999999999995,-2.207,-1.831,True,True
680,F36-like,cooling,600,0.9393199905012848,0.11599999999999966,0.5,0.9610000000000003,True,True
680,F52-like,heating,600,-2.2061250333581444,-2.3149999999999995,-2.207,-1.831,True,True
680,F52-like,cooling,600,0.9188035607463734,0.11599999999999966,0.5,0.9610000000000003,True,True
685,F36-like,heating,600,0.2748823226077848,0.40499999999999936,0.5419999999999998,0.5990000000000002,True,False
685,F36-like,cooling,600,2.818461215447864,2.805999999999999,2.9590000000000005,3.3080000000000007,True,True
685,F52-like,heating,600,0.27513618947442,0.40499999999999936,0.5419999999999998,0.5990000000000002,True,False
685,F52-like,cooling,600,2.823852686961149,2.805999999999999,2.9590000000000005,3.3080000000000007,True,True
695,F36-like,heating,600,-1.8145533510729468,-1.662,-1.5779999999999998,-1.3409999999999997,True,False
695,F36-like,cooling,600,3.4780609996622447,2.9330000000000007,3.061,3.5200000000000005,True,True
695,F52-like,heating,600,-1.8085292097061512,-1.662,-1.5779999999999998,-1.3409999999999997,True,False
695,F52-like,cooling,600,3.4596998329994575,2.9330000000000007,3.061,3.5200000000000005,True,True
900,F36-like,heating,900,0.0,0.0,0.0,0.0,True,True
900,F36-like,cooling,900,0.0,0.0,0.0,0.0,True,True
900,F52-like,heating,900,0.0,0.0,0.0,0.0,True,True
900,F52-like,cooling,900,0.0,0.0,0.0,0.0,True,True
910,F36-like,heating,900,0.44148781733956577,0.2689999999999999,0.31800000000000006,0.4820000000000002,True,True
910,F36-like,cooling,900,-0.5811659864727028,-1.23,-1.0759999999999998,-0.6099999999999999,True,False
910,F52-like,heating,900,0.4377763080640764,0.2689999999999999,0.31800000000000006,0.4820000000000002,True,True
910,F52-like,cooling,900,-0.5982164204874412,-1.23,-1.0759999999999998,-0.6099999999999999,True,False
920,F36-like,heating,900,1.4966038150514729,1.577,1.7149999999999999,1.817,True,False
920,F36-like,cooling,900,0.14087251273499612,0.242,0.3250000000000002,0.41400000000000015,True,False
920,F52-like,heating,900,1.4897552065133288,1.577,1.7149999999999999,1.817,True,False
920,F52-like,cooling,900,0.12401848546008054,0.242,0.3250000000000002,0.41400000000000015,True,False
930,F36-like,heating,900,1.9975616812303798,2.145,2.3499999999999996,2.6929999999999996,True,False
930,F36-like,cooling,900,-0.5776847724400211,-0.8340000000000001,-0.5529999999999999,-0.3639999999999999,True,True
930,F52-like,heating,900,1.9926532249125035,2.145,2.3499999999999996,2.6929999999999996,True,False
930,F52-like,cooling,900,-0.6045989912469749,-0.8340000000000001,-0.5529999999999999,-0.3639999999999999,True,True
940,F36-like,heating,900,-0.8154226830804727,-0.645,-0.5700000000000001,-0.33699999999999997,True,False
940,F36-like,cooling,900,-0.029957015578608637,-0.10099999999999998,-0.06400000000000006,-0.03299999999999992,True,False
940,F52-like,heating,900,-0.8297265329012253,-0.645,-0.5700000000000001,-0.33699999999999997,True,False
940,F52-like,cooling,900,-0.03460186052571501,-0.10099999999999998,-0.06400000000000006,-0.03299999999999992,True,True
950,F36-like,heating,900,-2.2720127275966107,-1.833,-1.664,-1.379,True,False
950,F36-like,cooling,900,-1.6434157342221956,-2.128,-1.782,-1.625,True,True
950,F52-like,heating,900,-2.2596759308253356,-1.833,-1.664,-1.379,True,False
950,F52-like,cooling,900,-1.6521784335947638,-2.128,-1.782,-1.625,True,True
980,F36-like,heating,900,-1.6601932671603414,-1.364,-1.253,-1.006,True,False
980,F36-like,cooling,900,1.2516715187322185,0.7869999999999999,1.287,1.5310000000000001,True,True
980,F52-like,heating,900,-1.6468891258936527,-1.364,-1.253,-1.006,True,False
980,F52-like,cooling,900,1.253299768879382,0.7869999999999999,1.287,1.5310000000000001,True,True
985,F36-like,heating,900,0.35324844980602643,0.5000000000000002,0.7050000000000003,1.0750000000000002,True,False
985,F36-like,cooling,900,3.4732182018204916,3.497,3.77,4.558999999999999,True,False
985,F52-like,heating,900,0.36669548822332576,0.5000000000000002,0.7050000000000003,1.0750000000000002,True,False
985,F52-like,cooling,900,3.505068323196701,3.497,3.77,4.558999999999999,True,True
995,F36-like,heating,900,-1.283724278772143,-0.9059999999999999,-0.6799999999999999,-0.3959999999999999,True,False
995,F36-like,cooling,900,4.574414891361975,4.388,4.7379999999999995,4.797000000000001,True,True
995,F52-like,heating,900,-1.2619042280106623,-0.9059999999999999,-0.6799999999999999,-0.3959999999999999,True,False
995,F52-like,cooling,900,4.585400735613564,4.388,4.7379999999999995,4.797000000000001,True,True
