run,topology,source_allocation,envelope,inside_h,longwave,internal_gain,annual_solar_MWh,heating_EUI,cooling_EUI,heating_in_range,cooling_in_range,both_in_range,d_heating_EUI,d_cooling_EUI,D_EUI,D_EUI_norm
F52,no-IW,Modelica-fractions,layer-controlled,8.0,harmonised,Modelica-split,12.112388823424306,105.31106962512888,107.94961620175779,False,True,False,1.56106962512888,0.0,1.56106962512888,0.060919790248931904
F36,no-IW,VDI-area,layer-controlled,8.0,harmonised,Modelica-split,12.112388823424306,105.44769480693759,106.44216455391768,False,True,False,1.6976948069375908,0.0,1.6976948069375908,0.06625150466097915
F56,no-IW,Modelica-fractions,layer-controlled,9.1,harmonised,Modelica-split,12.112388823424306,109.23888505266773,123.31512771385042,False,True,False,5.488885052667726,0.0,5.488885052667726,0.21420039229922833
F40,no-IW,VDI-area,layer-controlled,9.1,harmonised,Modelica-split,12.112388823424306,109.32512230021892,122.13909187791626,False,True,False,5.575122300218922,0.0,5.575122300218922,0.21756574830122621
F51,no-IW,Modelica-fractions,layer-controlled,8.0,harmonised,all-air,12.112388823424306,113.14632328277814,102.4305173145699,False,False,False,9.396323282778141,1.7361493520967741,9.555370521715242,0.36950264798902427
F35,no-IW,VDI-area,layer-controlled,8.0,harmonised,all-air,12.112388823424306,113.30513633162961,100.9503898158631,False,False,False,9.555136331629612,3.216276850803567,10.081917828322304,0.38230726643713336
F50,no-IW,Modelica-fractions,layer-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,115.93216770007625,99.80141390223059,False,False,False,12.18216770007625,4.365252764436079,12.940658467411845,0.4889955373624918
F34,no-IW,VDI-area,layer-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,116.0997893106791,98.33579350512649,False,False,False,12.3497893106791,5.8308731615401825,13.657099906061072,0.5056283047317468
F55,no-IW,Modelica-fractions,layer-controlled,9.1,harmonised,all-air,12.112388823424306,117.83937916922622,117.1954162120502,False,True,False,14.08937916922622,0.0,14.08937916922622,0.5498294309941939
F39,no-IW,VDI-area,layer-controlled,9.1,harmonised,all-air,12.112388823424306,117.93225663386771,116.03018276942885,False,True,False,14.18225663386771,0.0,14.18225663386771,0.5534539174192277
F54,no-IW,Modelica-fractions,layer-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,120.2697433665325,114.74739199206884,False,True,False,16.519743366532495,0.0,16.519743366532495,0.6446729118646828
