solar_group,factorial_id,topology,source_allocation,envelope,inside_h,longwave,internal_gain,annual_solar_MWh,heating_MWh,cooling_MWh,heating_in_range,cooling_in_range,both_in_range,D_MWh_norm
modelica,F52,no-IW,Modelica-fractions,layer-controlled,8.0,harmonised,Modelica-split,12.112388823424306,5.054931342006186,5.181581577684374,False,True,False,0.06091979024893124
modelica,F36,no-IW,VDI-area,layer-controlled,8.0,harmonised,Modelica-split,12.112388823424306,5.061489350733004,5.1092238985880485,False,True,False,0.06625150466097876
modelica,F56,no-IW,Modelica-fractions,layer-controlled,9.1,harmonised,Modelica-split,12.112388823424306,5.243466482528051,5.91912613026482,False,True,False,0.21420039229922805
modelica,F40,no-IW,VDI-area,layer-controlled,9.1,harmonised,Modelica-split,12.112388823424306,5.247605870410508,5.86267641013998,False,True,False,0.21756574830122574
modelica,F51,no-IW,Modelica-fractions,layer-controlled,8.0,harmonised,all-air,12.112388823424306,5.431023517573351,4.9166648310993555,False,False,False,0.36950264798902394
modelica,F35,no-IW,VDI-area,layer-controlled,8.0,harmonised,all-air,12.112388823424306,5.438646543918221,4.845618711161429,False,False,False,0.3823072664371326
modelica,F50,no-IW,Modelica-fractions,layer-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,5.56474404960366,4.790467867307068,False,False,False,0.4889955373624913
modelica,F34,no-IW,VDI-area,layer-controlled,8.0,explicit-VDI,Modelica-split,12.112388823424306,5.572789886912597,4.720118088246071,False,False,False,0.5056283047317465
modelica,F55,no-IW,Modelica-fractions,layer-controlled,9.1,harmonised,all-air,12.112388823424306,5.656290200122858,5.62537997817841,False,True,False,0.549829430994193
modelica,F39,no-IW,VDI-area,layer-controlled,9.1,harmonised,all-air,12.112388823424306,5.66074831842565,5.569448772932585,False,True,False,0.5534539174192272
modelica,F54,no-IW,Modelica-fractions,layer-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,5.77294768159356,5.507874815619304,False,True,False,0.6446729118646821
modelica,F38,no-IW,VDI-area,layer-controlled,9.1,explicit-VDI,Modelica-split,12.112388823424306,5.7775700092952285,5.452023138170137,False,True,False,0.6484309018660388
