scope,name,loading,boundary_kind,area_m2,selected_loading_period_days,r1_k_w,r2_k_w,r3_k_w,c1_j_k,c2_j_k,c1_effective_j_k,layers_room_to_outside,variable_name,notes
component,north wall,AW,exterior,21.6,7.0,0.0011829691860797491,0.001272815579360383,0.08038151682186144,211314.10127641482,102625.96962537448,210902.73530768696,plasterboard [layer 1] | fiberglass quilt [layer 2] | wood siding [layer 3],ReducedComponent,
component,east wall,AW,exterior,16.2,7.0,0.0015772922481063322,0.0016970874391471775,0.10717535576248195,158485.57595731108,76969.47721903086,158177.05148072183,plasterboard [layer 1] | fiberglass quilt [layer 2] | wood siding [layer 3],ReducedComponent,
component,south wall,AW,exterior,9.6,7.0,0.0026616806686794356,0.0028638350535608622,0.18085841284918827,93917.37834507324,45611.542055721984,93734.54902561296,plasterboard [layer 1] | fiberglass quilt [layer 2] | wood siding [layer 3],ReducedComponent,
component,west wall,AW,exterior,16.2,7.0,0.0015772922481063322,0.0016970874391471775,0.10717535576248195,158485.57595731108,76969.47721903086,158177.05148072183,plasterboard [layer 1] | fiberglass quilt [layer 2] | wood siding [layer 3],ReducedComponent,
component,roof,AW,exterior,48.0,7.0,0.0005507914363742013,0.0010011425472968522,0.0608066969687099,416609.99305307184,455543.82478195615,381586.7162407002,plasterboard [layer 1] | fiberglass quilt [layer 2] | roof deck [layer 3],ReducedComponent,
component,floor,AW,exterior,48.0,7.0,0.0012367731101057833,0.43595012654339843,0.08892917177506704,932663.8608500083,3309.3093469878645,935138.3085062426,timber flooring [layer 1] | massless insulation proxy [layer 2],ReducedComponent,
component,inferred floor and ceiling,IW,interior_same_conditions,96.0,7.0,0.0008884319383143845,0.0003120716881392505,0.0010666532362914633,12159989.190958546,28798390.135397483,12159989.190958546,adapter IW finish | adapter structure,ReducedComponent,
component,south windows,AW,exterior,12.0,massless,,,,0.0,0.0,0.0,transparent massless AW,TransparentComponent,Window conductance enters Eq. 25/26 and Eq. 27; no capacitance.
room,R_AW aggregate,AW,,,5.0,0.00034723358001402494,,,1937626.6470694211,,1937626.6470694211,,PreparedVDI6007Model.aw_aggregate,"component_names=('north wall', 'east wall', 'south wall', 'west wall', 'roof', 'floor'); impedance=(0.00034723358001402494-0.03548409881732775j)"
room,R_IW aggregate,IW,,,5.0,0.0008884319383143845,,,12159989.190958548,,12159989.190958548,,PreparedVDI6007Model.iw_aggregate,"component_names=('inferred floor and ceiling',); impedance=(0.0008884319383143845-0.005654193793759366j)"
room,R_AW total static,AW,,171.6,,0.011290249740324255,,,,,,,PreparedVDI6007Model.total_aw_resistance,"UA contributions=(('north wall', 11.448000000000002), ('east wall', 8.586), ('south wall', 5.088), ('west wall', 8.586), ('roof', 15.84), ('floor', 1.8239999999999998), ('south windows', 37.2))"
room,r_total_aw_k_w,,,,,0.011290249740324255,,,,,,,PreparedVDI6007Model.residual_aw_resistance.r_total_aw_k_w,
room,r1_aw_original_k_w,,,,,0.00034723358001402494,,,,,,,PreparedVDI6007Model.residual_aw_resistance.r1_aw_original_k_w,
room,r1_aw_corrected_k_w,,,,,0.00034723358001402494,,,,,,,PreparedVDI6007Model.residual_aw_resistance.r1_aw_corrected_k_w,
