series,source_file,weather_variable,units,hourly_length,minimum,maximum,mean,heating_season_mean_oct_mar,timestamp_index,timezone
VDI EPW TDryBul,/Users/rui.bo/Desktop/BASE/_development/2_validation/modelica_test_2/modelica-buildings-github-master/Buildings/Resources/weatherdata/USA_CO_Denver.Intl.AP.725650_TMY3.epw,TDryBul / dry-bulb outdoor air temperature,degC,8760,-19.4,40.0,10.875342465753425,3.6022435897435896,2023 surrogate hourly index; position-matched to timestamp_s/3600,EPW header UTC-07:00; pandas index is naive
Modelica exported outdoor_temperature_C,/Users/rui.bo/Desktop/BASE/_development/2_validation/_BESTEST/results/case600/case600_iso13790_diagnostic_modelica_solar_hourly.csv,TDryBul / dry-bulb outdoor air temperature,degC,8760,-21.049999999999983,40.0,10.875154109589067,3.601865842490867,2023 surrogate hourly index; position-matched to timestamp_s/3600,EPW header UTC-07:00; pandas index is naive
VDI no-IW wrapper OAT,build_hourly_inputs outdoor_temperature_c/default EPW,TDryBul / dry-bulb outdoor air temperature,degC,8760,-19.4,40.0,10.875342465753425,3.6022435897435896,2023 surrogate hourly index; position-matched to timestamp_s/3600,EPW header UTC-07:00; pandas index is naive
VDI current positive-IW OAT,build_hourly_inputs outdoor_temperature_c/default EPW,TDryBul / dry-bulb outdoor air temperature,degC,8760,-19.4,40.0,10.875342465753425,3.6022435897435896,2023 surrogate hourly index; position-matched to timestamp_s/3600,EPW header UTC-07:00; pandas index is naive
first_24_values,hour 0,VDI_EPW_C / Modelica_exported_C,degC,,-18.0,-17.99999999999997,-2.842170943040401e-14,,2023-01-01 00:00:00,
first_24_values,hour 1,VDI_EPW_C / Modelica_exported_C,degC,,-16.6,-16.599999999999966,-3.552713678800501e-14,,2023-01-01 01:00:00,
first_24_values,hour 2,VDI_EPW_C / Modelica_exported_C,degC,,-15.3,-15.299999999999956,-4.440892098500626e-14,,2023-01-01 02:00:00,
first_24_values,hour 3,VDI_EPW_C / Modelica_exported_C,degC,,-14.4,-14.399999999999975,-2.4868995751603507e-14,,2023-01-01 03:00:00,
first_24_values,hour 4,VDI_EPW_C / Modelica_exported_C,degC,,-13.0,-13.0,0.0,,2023-01-01 04:00:00,
first_24_values,hour 5,VDI_EPW_C / Modelica_exported_C,degC,,-11.1,-11.099999999999966,-3.375077994860476e-14,,2023-01-01 05:00:00,
first_24_values,hour 6,VDI_EPW_C / Modelica_exported_C,degC,,-9.7,-9.699999999999989,-1.0658141036401503e-14,,2023-01-01 06:00:00,
first_24_values,hour 7,VDI_EPW_C / Modelica_exported_C,degC,,-7.7,-7.699999999999989,-1.1546319456101628e-14,,2023-01-01 07:00:00,
first_24_values,hour 8,VDI_EPW_C / Modelica_exported_C,degC,,-5.9,-5.899999999999977,-2.3092638912203256e-14,,2023-01-01 08:00:00,
first_24_values,hour 9,VDI_EPW_C / Modelica_exported_C,degC,,-2.2,-2.1999999999999886,-1.1546319456101628e-14,,2023-01-01 09:00:00,
first_24_values,hour 10,VDI_EPW_C / Modelica_exported_C,degC,,1.4,1.400000000000034,-3.419486915845482e-14,,2023-01-01 10:00:00,
first_24_values,hour 11,VDI_EPW_C / Modelica_exported_C,degC,,2.8,2.800000000000012,-1.199040866595169e-14,,2023-01-01 11:00:00,
first_24_values,hour 12,VDI_EPW_C / Modelica_exported_C,degC,,4.4,4.400000000000034,-3.375077994860476e-14,,2023-01-01 12:00:00,
first_24_values,hour 13,VDI_EPW_C / Modelica_exported_C,degC,,3.3,3.300000000000012,-1.199040866595169e-14,,2023-01-01 13:00:00,
first_24_values,hour 14,VDI_EPW_C / Modelica_exported_C,degC,,3.9,3.900000000000034,-3.419486915845482e-14,,2023-01-01 14:00:00,
first_24_values,hour 15,VDI_EPW_C / Modelica_exported_C,degC,,2.2,2.200000000000045,-4.4853010194856324e-14,,2023-01-01 15:00:00,
first_24_values,hour 16,VDI_EPW_C / Modelica_exported_C,degC,,-0.6,-0.5999999999999659,-3.4083846855992306e-14,,2023-01-01 16:00:00,
first_24_values,hour 17,VDI_EPW_C / Modelica_exported_C,degC,,-2.2,-2.1999999999999886,-1.1546319456101628e-14,,2023-01-01 17:00:00,
first_24_values,hour 18,VDI_EPW_C / Modelica_exported_C,degC,,-5.0,-5.0,0.0,,2023-01-01 18:00:00,
first_24_values,hour 19,VDI_EPW_C / Modelica_exported_C,degC,,-5.6,-5.599999999999966,-3.375077994860476e-14,,2023-01-01 19:00:00,
first_24_values,hour 20,VDI_EPW_C / Modelica_exported_C,degC,,-6.1,-6.099999999999966,-3.375077994860476e-14,,2023-01-01 20:00:00,
first_24_values,hour 21,VDI_EPW_C / Modelica_exported_C,degC,,-6.1,-6.099999999999966,-3.375077994860476e-14,,2023-01-01 21:00:00,
first_24_values,hour 22,VDI_EPW_C / Modelica_exported_C,degC,,-6.1,-6.099999999999966,-3.375077994860476e-14,,2023-01-01 22:00:00,
first_24_values,hour 23,VDI_EPW_C / Modelica_exported_C,degC,,-5.0,-5.0,0.0,,2023-01-01 23:00:00,
VDI minus Modelica OAT difference,position-wise comparison,outdoor_C - outdoor_temperature_C,K,8760,-4.618527782440651e-14,1.6499999999999844,0.00018835616435838217,0.00037774725272237585,Only nonzero difference found at final hour,
