case,heating_MWh,cooling_MWh,total_HVAC_MWh,heating_EUI_kWh_m2yr,cooling_EUI_kWh_m2yr,total_EUI_kWh_m2yr,peak_heating_kW,peak_cooling_kW,heating_hours,cooling_hours,annual_solar_MWh,solar_source,heating_pass,cooling_pass,combined_pass,maximum_balance_residual_W,sensitivity,convective_fraction,radiant_fraction,zero_fraction_treatment
heating_1.0,5.572789886912597,4.720118088246071,10.292907975158668,116.0997893106791,98.33579350512649,214.4355828158056,3.6217394709604624,4.747011749493801,4185,2708,12.112388823424306,Modelica aggregate controlled forcing,False,False,False,9.094947017729282e-13,heating,1.0,0.0,exact
heating_0.8,5.973845574081183,4.755434593848551,10.729280167929733,124.45511612669132,99.07155403851148,223.52667016520277,3.887406728227901,4.7577565868013245,4153,2726,12.112388823424306,Modelica aggregate controlled forcing,False,False,False,9.094947017729282e-13,heating,0.8,0.19999999999999996,exact
heating_0.6,6.435225816272953,4.794643072354652,11.229868888627605,134.06720450568653,99.88839734072191,233.95560184640843,4.189624396254311,4.769432307684254,4104,2753,12.112388823424306,Modelica aggregate controlled forcing,False,False,False,9.094947017729282e-13,heating,0.6,0.4,exact
heating_0.4,6.968039895708944,4.836112408537148,11.804152304246092,145.16749782726967,100.75234184452393,245.9198396717936,4.5374978040566685,4.778894847746482,4045,2770,12.112388823424306,Modelica aggregate controlled forcing,False,False,False,9.094947017729282e-13,heating,0.4,0.6,exact
heating_0.2,7.587479032408525,4.878311105486984,12.465790137895508,158.07247984184428,101.63148136431215,259.7039612061564,4.943635202737302,4.788591777231937,3974,2791,12.112388823424306,Modelica aggregate controlled forcing,False,False,False,9.094947017729282e-13,heating,0.2,0.8,exact
heating_0.0,8.300140098341453,4.913238522201707,13.21337862054316,172.9195853821136,102.35913587920224,275.27872126131587,5.683171722743521,4.79661024302613,3882,2805,12.112388823424306,Modelica aggregate controlled forcing,False,False,False,9.094947017729282e-13,heating,0.0,1.0,1e-9 numerical diagnostic: exact zero rejected by floating residual in derive_hvac_fractions
cooling_1.0,5.572789886912597,4.720118088246071,10.292907975158668,116.0997893106791,98.33579350512649,214.4355828158056,3.6217394709604624,4.747011749493801,4185,2708,12.112388823424306,Modelica aggregate controlled forcing,False,False,False,9.094947017729282e-13,cooling,1.0,0.0,exact
cooling_0.8,5.607397443982292,5.084067327150784,10.691464771133075,116.8207800829644,105.91806931564133,222.73884939860577,3.6218469399983717,5.229279901380817,4218,2632,12.112388823424306,Modelica aggregate controlled forcing,False,True,False,9.094947017729282e-13,cooling,0.8,0.19999999999999996,exact
cooling_0.6,5.645494803682808,5.50367404571284,11.149168849395647,117.61447507672516,114.65987595235083,232.27435102907597,3.621987558860781,5.791394099259471,4263,2552,12.112388823424306,Modelica aggregate controlled forcing,False,True,False,9.094947017729282e-13,cooling,0.6,0.4,exact
cooling_0.4,5.6863419073094565,5.989799585023986,11.676141492333443,118.46545640228034,124.78749135466637,243.25294775694672,3.622175190532108,6.428637039970934,4290,2471,12.112388823424306,Modelica aggregate controlled forcing,False,True,False,4.547473508864641e-13,cooling,0.4,0.6,exact
cooling_0.3,5.706552522546476,6.2597704223906385,11.966322944937115,118.8865108863849,130.41188379980497,249.2983946861899,3.622290536980085,6.765243080414379,4312,2413,12.112388823424306,Modelica aggregate controlled forcing,False,True,False,4.547473508864641e-13,cooling,0.3,0.7,exact
cooling_0.2,5.72552813660831,6.548213372733533,12.273741509341843,119.28183617933979,136.42111193194862,255.70294811128838,3.622417653837768,7.10427271260496,4335,2363,12.112388823424306,Modelica aggregate controlled forcing,False,True,False,4.547473508864641e-13,cooling,0.2,0.8,exact
cooling_0.0,5.75382064519503,7.174788530427489,12.928609175622519,119.87126344156313,149.47476105057268,269.3460244921358,3.6225735896119784,8.25236896549337,4353,2230,12.112388823424306,Modelica aggregate controlled forcing,False,False,False,4.547473508864641e-13,cooling,0.0,1.0,1e-9 numerical diagnostic: exact zero rejected by floating residual in derive_hvac_fractions
