case,metric,lower_MWh,upper_MWh,BSIMAC,CSE,DeST,EnergyPlus,ESP-r,TRNSYS,LBNL-5R1C,5R1C,7R2C,bounds_valid,LBNL-5R1C_in_range,5R1C_in_range,7R2C_in_range
600,heating,3.75,4.98,4.05,3.993,4.047,4.324,4.362,4.504,4.658,4.582235662795553,4.823417416763939,True,True,True,True
610,heating,3.61,5.27,4.163,4.066,4.144,4.375,4.527,4.592,4.784,4.71490932400369,4.955556836394417,True,True,True,True
620,heating,3.67,5.38,4.37,4.094,4.297,4.485,4.514,4.719,4.824,4.768045036836447,5.007975552090079,True,True,True,True
630,heating,3.69,6.12,4.923,4.356,4.677,4.784,5.051,5.139,5.097,5.052480402662963,5.254494091323834,True,True,True,True
640,heating,1.58,3.76,2.682,2.403,2.619,2.662,2.654,2.653,2.898,2.566110452179474,2.778307002250646,True,True,True,True
650,heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
660,heating,2.68,4.82,3.574,3.602,3.821,3.707,3.787,3.79,3.898,3.844761449906094,3.726305939103959,True,True,True,True
670,heating,4.0,7.96,5.484,5.3,5.573,5.616,5.975,6.14,7.381,7.302776154591553,6.255515741520651,True,True,True,True
680,heating,1.21,3.08,2.219,1.786,1.732,2.18,2.132,2.286,2.646,2.5772251541427336,2.6113587884773826,True,True,True,True
685,heating,4.08,5.75,4.532,4.574,4.646,4.877,4.904,5.042,5.063,4.982194862621665,5.098299739371724,True,True,True,True
695,heating,1.7,3.81,2.709,2.415,2.385,2.802,2.732,2.892,3.147,3.074242937332716,3.008864065690992,True,True,True,True
900,heating,1.04,2.28,1.726,1.379,1.591,1.664,1.585,1.814,1.833,1.8185355635542553,2.2720127275966107,True,True,True,True
910,heating,1.56,2.3,2.163,1.648,1.86,1.956,2.067,2.132,2.284,2.2694725493432695,2.7135005449361764,True,True,True,False
920,heating,2.55,4.2,3.5,2.956,3.259,3.337,3.3,3.607,3.65,3.635014838234369,3.768616542648083,True,True,True,True
930,heating,2.75,5.35,4.27,3.524,3.933,3.994,4.278,4.384,4.183,4.168665549972275,4.2695744088269905,True,True,True,True
940,heating,0.22,1.91,1.389,0.863,1.149,1.067,1.015,1.169,1.242,1.150732487836882,1.456590044516138,True,True,True,True
950,heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
980,heating,-0.61,1.28,0.72,0.246,0.266,0.411,0.351,0.45,0.494,0.486971039083325,0.6118194604362691,True,True,True,True
985,heating,1.68,3.09,2.801,2.12,2.279,2.369,2.283,2.536,2.333,2.30959432777832,2.625261177402637,True,True,True,True
995,heating,-0.15,2.02,1.33,0.755,0.77,1.006,0.905,1.077,0.927,0.9126313943262206,0.9882884488244676,True,True,True,True
600,cooling,5.0,6.83,5.822,5.913,5.432,6.027,6.162,5.78,5.803,5.72773729269961,5.678802212968258,True,True,True,True
610,cooling,2.74,6.03,4.299,4.382,4.173,4.333,4.233,4.117,4.602,4.536568768317675,4.574798306167243,True,True,True,True
620,cooling,2.76,5.19,4.404,4.079,3.909,4.06,4.246,3.841,4.009,3.967415648225399,4.075384095270081,True,True,True,True
630,cooling,1.08,4.42,3.074,3.02,2.787,2.836,2.595,2.573,2.954,2.9231820055034676,3.07272759495848,True,True,True,True
640,cooling,4.44,6.86,5.804,5.644,5.237,5.763,5.893,5.477,5.617,5.43064029830247,5.493814802447751,True,True,True,True
650,cooling,3.46,5.88,4.629,4.654,4.186,4.817,4.945,4.632,4.821,4.801365104775185,4.953261078973889,True,True,True,True
660,cooling,1.91,4.33,3.014,3.34,3.26,3.232,3.219,2.966,3.185,3.134986128909309,3.4457038988478437,True,True,True,True
670,cooling,5.05,7.67,6.539,6.578,5.954,6.623,6.52,6.198,4.975,4.902491779384617,5.504974592453159,True,False,False,True
680,cooling,5.13,7.7,5.938,6.43,5.932,6.444,6.529,6.31,6.764,6.696079085933611,6.618122203469543,True,True,True,True
685,cooling,7.7,10.14,9.13,8.859,8.238,9.119,9.121,8.851,8.651,8.584864274465131,8.497263428416122,True,True,True,True
695,cooling,7.49,10.58,8.755,8.974,8.386,9.172,9.149,9.039,9.323,9.26598506032459,9.156863212630505,True,True,True,True
900,cooling,2.35,2.6,2.714,2.464,2.383,2.489,2.488,2.267,2.284,2.284475341183729,2.54478437067725,True,False,False,True
910,cooling,2.0,0.86,1.484,1.415,1.49,1.383,1.283,1.191,1.674,1.6748879368253418,1.9636183842045472,False,,,
920,cooling,2.43,3.08,3.128,2.789,2.706,2.731,2.814,2.549,2.684,2.6887185982460564,2.6856568834122463,True,True,True,True
930,cooling,1.24,2.64,2.161,2.075,1.908,1.919,1.654,1.672,1.92,1.923263234107995,1.967099598237229,True,True,True,True
940,cooling,2.24,3.14,2.613,2.397,2.343,2.424,2.428,2.203,2.251,2.246702078887781,2.5148273550986415,True,True,True,True
950,cooling,0.43,1.52,0.586,0.598,0.618,0.707,0.656,0.642,0.638,0.6546798175451359,0.9013686364550546,True,True,True,True
980,cooling,3.52,4.49,3.501,3.995,3.758,3.712,3.775,3.519,3.658,3.665299210595247,3.7964558894094687,True,True,True,True
985,cooling,5.95,7.26,7.273,6.234,5.88,6.359,6.249,6.113,5.905,5.89766961400656,6.018002572497742,True,False,False,True
995,cooling,6.58,8.41,7.482,7.202,6.771,7.203,7.149,7.064,7.077,7.0796722111679395,7.119199262039226,True,True,True,True
