case,metric,lower_MWh,upper_MWh,bounds_valid,published_lbnl_modelica_MWh,actual_modelica_MWh,native_iso_MWh,rclib_iso_modelica_solar_MWh,modelica_minus_published_MWh,published_lbnl_modelica_status,actual_modelica_status,native_iso_status
600,heating,3.75,4.98,True,4.658,4.657996766471248,5.502373200951481,4.582235662795553,-3.233528752311088e-06,PASS,PASS,FAIL
610,heating,3.61,5.27,True,4.784,4.783805870949123,5.648637129210293,4.71490932400369,-0.00019412905087712318,PASS,PASS,FAIL
620,heating,3.67,5.38,True,4.824,4.823477106182571,5.059147098439902,4.768045036836447,-0.0005228938174290931,PASS,PASS,PASS
630,heating,3.69,6.12,True,5.097,5.096714865560632,5.259891767036681,5.052480402662963,-0.0002851344393688393,PASS,PASS,PASS
640,heating,1.58,3.76,True,2.898,2.898367191127498,3.749935544427569,2.566110452179474,0.0003671911274980566,PASS,PASS,PASS
650,heating,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,PASS,PASS,PASS
660,heating,2.68,4.82,True,3.898,3.8984710048004976,4.681826121810015,3.844761449906094,0.0004710048004974432,PASS,PASS,PASS
670,heating,4.0,7.96,True,7.381,7.38127011517111,8.637255818889457,7.302776154591553,0.00027011517110953065,PASS,PASS,FAIL
680,heating,1.21,3.08,True,2.646,2.646207411594692,3.22621597407652,2.5772251541427336,0.00020741159469217507,PASS,PASS,FAIL
685,heating,4.08,5.75,True,5.063,5.06302834770818,5.773615426040467,4.982194862621665,2.8347708179943254e-05,PASS,PASS,FAIL
695,heating,1.7,3.81,True,3.147,3.1468381425020557,3.6134319715443057,3.074242937332716,-0.00016185749794406235,PASS,PASS,PASS
900,heating,1.04,2.28,True,1.833,1.8327671289044072,4.790196300823487,1.8185355635542555,-0.0002328710955927793,PASS,PASS,FAIL
910,heating,1.56,2.3,True,2.284,2.283599873434345,5.049022845912845,2.269472549343269,-0.0004001265656548014,PASS,PASS,FAIL
920,heating,2.55,4.2,True,3.65,3.649996024277112,3.539694291595484,3.635014838234369,-3.975722887794575e-06,PASS,PASS,PASS
930,heating,2.75,5.35,True,4.183,4.182854720250194,4.101262386926512,4.168665549972275,-0.00014527974980627079,PASS,PASS,PASS
940,heating,0.22,1.91,True,1.242,1.2419278910451217,3.79379477872588,1.150732487836882,-7.210895487830271e-05,PASS,PASS,FAIL
950,heating,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,PASS,PASS,PASS
980,heating,-0.61,1.28,True,0.494,0.4941856928208478,2.601258809593646,0.486971039083325,0.0001856928208477937,PASS,PASS,FAIL
985,heating,1.68,3.09,True,2.333,2.332906433670075,4.828185716334388,2.30959432777832,-9.356632992529867e-05,PASS,PASS,FAIL
995,heating,-0.15,2.02,True,0.927,0.9273608741724508,2.68541443331658,0.9126313943262206,0.0003608741724507869,PASS,PASS,FAIL
600,cooling,5.0,6.83,True,5.803,5.802665956514086,1.4137715658587533,5.72773729269961,-0.0003340434859140373,PASS,PASS,FAIL
610,cooling,2.74,6.03,True,4.602,4.602159547277836,1.1869342472879434,4.536568768317675,0.00015954727783551448,PASS,PASS,FAIL
620,cooling,2.76,5.19,True,4.009,4.008999626478124,3.840018381279018,3.9674156482254,-3.735218765399395e-07,PASS,PASS,PASS
630,cooling,1.08,4.42,True,2.954,2.9538472718830326,2.7988665738438234,2.923182005503468,-0.00015272811696753763,PASS,PASS,PASS
640,cooling,4.44,6.86,True,5.617,5.616459446130031,1.3768503150571332,5.43064029830247,-0.000540553869969429,PASS,PASS,FAIL
650,cooling,3.46,5.88,True,4.821,4.820687405840963,1.0544940329542758,4.801365104775185,-0.0003125941590367276,PASS,PASS,FAIL
660,cooling,1.91,4.33,True,3.185,3.1844035594915368,0.930337159926338,3.134986128909309,-0.0005964405084633029,PASS,PASS,FAIL
670,cooling,5.05,7.67,True,4.975,4.97530801352262,1.233578529035638,4.902491779384617,0.00030801352262077586,FAIL,FAIL,FAIL
680,cooling,5.13,7.7,True,6.764,6.764384062583923,1.4750174707928336,6.696079085933611,0.00038406258392242876,PASS,PASS,FAIL
685,cooling,7.7,10.14,True,8.651,8.650901501630194,3.45281125175145,8.584864274465131,-9.849836980535542e-05,PASS,PASS,FAIL
695,cooling,7.49,10.58,True,9.323,9.323000084803914,3.4296141128502464,9.26598506032459,8.48039132250733e-08,PASS,PASS,FAIL
900,cooling,2.35,2.6,True,2.284,2.2844103804575315,0.6143385272004637,2.284475341183729,0.0004103804575317227,FAIL,FAIL,FAIL
910,cooling,2.0,0.86,False,1.674,1.6745207407342189,0.498503850821486,1.6748879368253418,0.0005207407342189274,N/A: malformed bounds,N/A: malformed bounds,N/A: malformed bounds
920,cooling,2.43,3.08,True,2.684,2.6843194857447026,2.1098282664159846,2.6887185982460564,0.0003194857447024191,PASS,PASS,FAIL
930,cooling,1.24,2.64,True,1.92,1.9201172850468604,1.497709620541708,1.923263234107995,0.00011728504686048247,PASS,PASS,PASS
940,cooling,2.24,3.14,True,2.251,2.250527028850205,0.613484526957875,2.246702078887781,-0.00047297114979505395,PASS,PASS,FAIL
950,cooling,0.43,1.52,True,0.638,0.6381947241169499,0.1017579625698037,0.6546798175451359,0.00019472411694987368,PASS,PASS,FAIL
980,cooling,3.52,4.49,True,3.658,3.6576721627136144,0.833657337333463,3.665299210595248,-0.0003278372863855239,PASS,PASS,FAIL
985,cooling,5.95,7.26,True,5.905,5.905086216517513,2.5215234729010163,5.89766961400656,8.621651751283821e-05,FAIL,FAIL,FAIL
995,cooling,6.58,8.41,True,7.077,7.077423879911394,2.5087419179517907,7.07967221116794,0.0004238799113940317,PASS,PASS,FAIL
