physical_interval,modelica_raw_timestamp,modelica_completed_hour,iso_raw_timestamp,iso_completed_hour,modelica_heating_W,iso_heating_W,modelica_cooling_W,iso_cooling_W
01-Feb 00:00–01:00,2682000.0,1,2682000.0,1,2181.897444231908,2194.9047038843905,-0.0,0.0
01-Feb 01:00–02:00,2685600.0,2,2685600.0,2,2230.090447012716,2242.3418291487824,-0.0,0.0
01-Feb 02:00–03:00,2689200.0,3,2689200.0,3,2272.104339807431,2284.066506114542,-0.0,0.0
01-Feb 03:00–04:00,2692800.0,4,2692800.0,4,2312.840297691425,2326.9401034327057,-0.0,0.0
01-Feb 04:00–05:00,2696400.0,5,2696400.0,5,2336.21425396204,2325.4245846243416,-0.0,0.0
01-Feb 05:00–06:00,2700000.0,6,2700000.0,6,2341.277408249511,2348.1661682267454,-0.0,0.0
01-Feb 06:00–07:00,2703600.0,7,2703600.0,7,2343.777214089765,2255.378047650929,-0.0,0.0
01-Feb 07:00–08:00,2707200.0,8,2707200.0,8,2024.111368157334,1588.0625352765387,-0.0,0.0
01-Feb 08:00–09:00,2710800.0,9,2710800.0,9,838.4018494598071,144.5128425746625,-0.0,0.0
01-Feb 09:00–10:00,2714400.0,10,2714400.0,10,-0.0040860806571112,0.0,-0.0,0.0
01-Feb 10:00–11:00,2718000.0,11,2718000.0,11,-3.418657514784071e-07,0.0,918.0707037883336,1684.0953939962076
01-Feb 11:00–12:00,2721600.0,12,2721600.0,12,0.0,0.0,2656.377231754528,3102.676901324357
01-Feb 12:00–13:00,2725200.0,13,2725200.0,13,0.0,0.0,3732.958621052305,3942.637140036896
01-Feb 13:00–14:00,2728800.0,14,2728800.0,14,0.0,0.0,4143.105684675508,3990.226935804113
01-Feb 14:00–15:00,2732400.0,15,2732400.0,15,0.0,0.0,3846.307950697938,3529.6450789410437
01-Feb 15:00–16:00,2736000.0,16,2736000.0,16,0.0,0.0,3051.852876543469,2519.9680971250896
01-Feb 16:00–17:00,2739600.0,17,2739600.0,17,0.0,0.0,1712.934620769156,962.3138759111824
01-Feb 17:00–18:00,2743200.0,18,2743200.0,18,0.0,0.0,190.412100783454,0.0
01-Feb 18:00–19:00,2746800.0,19,2746800.0,19,50.8056311167611,233.23996603907807,-1.18043687608507e-06,0.0
01-Feb 19:00–20:00,2750400.0,20,2750400.0,20,964.6716707513068,1265.0296935275903,-0.0,0.0
01-Feb 20:00–21:00,2754000.0,21,2754000.0,21,1690.660931943788,1845.474134416567,-0.0,0.0
01-Feb 21:00–22:00,2757600.0,22,2757600.0,22,2104.652378579908,2193.180721837575,-0.0,0.0
01-Feb 22:00–23:00,2761200.0,23,2761200.0,23,2345.714868553347,2375.2283537005837,-0.0,0.0
01-Feb 23:00–00:00,2764800.0,24,2764800.0,24,2447.213387496736,2444.8377664175714,-0.0,0.0
