quantity,annual_MWh_or_MWh_m2,maximum,mean_sunlit,nonzero_hours,peak_timestamp_s
global_horizontal_W_m2,1.67022,1021.0,370.09084865942833,4513,14299200.0
direct_normal_W_m2,1.977576,1035.0,502.81617086193745,3933,5662800.0
diffuse_horizontal_W_m2,0.556451,572.0,123.71076033792797,4498,12135600.0
south_window_direct_W_m2,0.17482108993375656,456.78740722549384,118.44247285484862,1476,1526400.0
south_window_diffuse_W_m2,0.2782255,286.0,61.85538016896398,4498,12135600.0
window_solar_gain_W,3.8539199379767966,4289.4256096829795,924.8738613938132,4340,1526400.0
opaque_solar_gain_W,0.4164573280168102,459.87073727955567,187.10645063216035,3828,12135600.0
total_zone_solar_gain_W,4.270377265993608,4475.472702115334,1114.7749161759712,4232,1526400.0
modelica_window_solar_gain_W,11.335604540808463,9164.938559273423,2532.658578392172,4536,28382400.0
modelica_opaque_solar_gain_W,0.7767842826158398,558.9825838165176,269.3785918115527,3961,10069200.0
modelica_total_zone_solar_gain_W,12.112388823424308,9519.92066058232,2844.9347864731562,4408,28382400.0
